TaskID,TaskType,MachineID,MachineType,MachineAgeYears,OperatorID,OperatorSkillLevel,OperatorExperienceYears,WeatherCondition,AmbientTemperatureC,HumidityPercent,WindSpeedKph,SiteTerrainType,MaterialType,LoadVolumeM3,DistanceCoveredM,TimeOfDay,ShiftHoursElapsed,NumberOfBreaks,PriorTaskDelayMin,IdlingDuringTaskMin,FuelConsumedDuringTaskL,EstimatedTimeMin,ActualTimeMin,SafetyIncidentDuringTask
T01085,Earth Excavation,EXC001,Excavator,7,OP013,Intermediate,3,Sunny,33.05,66.97,7.97,Rocky,Debris,43.54,149.13,Evening,8.51,2,10.82,12.83,5.79,69.00,97.49,No
T01086,Trenching,LDR001,Loader,1,OP005,Intermediate,3,Foggy,15.30,47.90,9.89,Sandy,Concrete,27.12,223.32,Night,0.35,2,17.27,1.17,3.01,59.40,56.23,No
T01087,Trenching,EXC001,Excavator,7,OP009,Beginner,2,Windy,6.62,39.13,34.92,Hilly,Soil,14.69,116.59,Evening,5.37,3,8.84,11.28,4.98,56.93,84.28,No
T01088,Trenching,CRN001,Crane,3,OP014,Beginner,2,Sunny,19.88,38.49,2.87,Muddy,Sand,51.01,473.26,Night,9.63,1,4.81,14.72,5.20,54.00,89.11,No
T01089,Earth Excavation,EXC002,Excavator,2,OP003,Beginner,2,Sunny,10.95,51.22,14.66,Sandy,Concrete,10.18,207.58,Afternoon,9.56,1,7.44,5.27,5.80,66.00,105.51,No
T01090,Compacting,LDR002,Loader,4,OP020,Intermediate,6,Cloudy,11.28,63.05,7.03,Flat,Rock,50.75,447.22,Afternoon,6.96,2,9.91,4.98,3.74,57.75,76.01,No
T01091,Digging,CRN002,Crane,6,OP015,Expert,9,Sunny,21.25,29.24,4.91,Sandy,Rock,35.45,202.44,Morning,5.38,1,6.76,12.71,3.57,55.00,60.96,No
T01092,Trenching,LDR002,Loader,4,OP006,Intermediate,6,Sunny,27.77,56.21,7.32,Flat,Sand,22.54,182.36,Evening,6.68,3,6.18,11.39,3.29,45.00,64.25,Yes
T01093,Digging,BLD003,Bulldozer,5,OP015,Expert,9,Windy,16.56,62.82,33.00,Rocky,Soil,12.20,421.68,Afternoon,8.85,3,10.77,4.03,4.28,63.25,71.56,No
T01094,Lifting,CRN001,Crane,3,OP003,Beginner,2,Rainy,12.02,85.59,6.73,Flat,Debris,44.69,113.42,Morning,3.46,3,1.57,11.41,3.43,46.00,63.37,Yes
T01095,Compacting,GRD001,Grader,6,OP011,Intermediate,3,Sunny,17.98,41.24,7.82,Rocky,Concrete,36.55,32.40,Morning,6.93,1,0.00,9.42,5.11,63.25,81.83,No
T01096,Material Loading,GRD002,Grader,6,OP020,Intermediate,6,Foggy,17.97,36.49,3.95,Hilly,Rock,51.61,486.37,Afternoon,7.38,2,3.46,7.31,3.36,41.40,56.04,No
T01097,Material Loading,BLD002,Bulldozer,5,OP011,Intermediate,3,Sunny,24.80,45.70,15.59,Sandy,Debris,11.78,314.45,Morning,2.42,3,0.00,4.51,2.30,33.00,40.94,No
T01098,Digging,DMP002,DumpTruck,5,OP013,Intermediate,3,Snowy,-2.73,58.34,9.82,Rocky,Sand,19.48,458.48,Morning,9.73,1,0.00,7.84,4.84,74.75,91.76,No
T01099,Material Loading,LDR001,Loader,1,OP018,Intermediate,4,Cloudy,13.55,64.69,4.85,Hilly,Rock,20.14,378.77,Night,6.53,0,0.00,0.00,2.48,36.22,48.04,No
T01100,Compacting,EXC002,Excavator,2,OP003,Beginner,2,Sunny,13.04,54.88,1.58,Sandy,Debris,6.69,213.02,Morning,5.30,0,7.26,13.46,4.28,60.50,85.09,No
T01101,Lifting,DMP001,DumpTruck,6,OP012,Beginner,2,Foggy,20.07,38.76,4.37,Flat,Rock,27.57,84.91,Afternoon,4.26,3,0.00,10.88,4.27,48.00,79.57,No
T01102,Compacting,CRN002,Crane,6,OP008,Beginner,0,Windy,23.46,62.86,34.45,Muddy,Concrete,38.55,474.01,Evening,5.86,3,12.72,9.78,6.79,72.60,112.39,No
T01103,Lifting,BLD001,Bulldozer,2,OP005,Intermediate,3,Rainy,26.11,68.15,12.35,Muddy,Rock,11.44,482.49,Afternoon,9.35,2,0.00,5.05,4.15,55.20,77.42,No
T01104,Compacting,BLD002,Bulldozer,5,OP009,Beginner,2,Rainy,13.92,74.77,12.94,Flat,Debris,47.33,162.93,Morning,2.72,2,11.30,11.34,5.67,63.25,95.81,No
T01105,Lifting,BLD001,Bulldozer,2,OP014,Beginner,2,Rainy,26.00,80.08,10.12,Flat,Sand,7.98,191.63,Night,9.14,0,14.54,9.84,4.31,46.00,77.16,No
T01106,Earth Excavation,BLD001,Bulldozer,2,OP014,Beginner,2,Windy,20.18,47.06,27.98,Muddy,Concrete,50.88,318.90,Evening,1.97,2,0.00,9.49,5.58,79.20,102.67,No
T01107,Lifting,BLD002,Bulldozer,5,OP003,Beginner,2,Sunny,27.74,55.93,15.09,Flat,Concrete,41.47,492.39,Morning,3.59,3,0.62,12.71,3.26,40.00,61.59,No
T01108,Demolition,GRD002,Grader,6,OP016,Expert,10,Cloudy,17.36,67.15,9.48,Flat,Concrete,52.18,420.65,Evening,4.29,2,0.17,2.29,5.38,94.50,92.38,No
T01109,Demolition,DMP001,DumpTruck,6,OP007,Intermediate,3,Windy,8.81,56.56,39.51,Flat,Concrete,47.06,195.32,Night,8.61,0,5.81,14.34,8.20,99.00,132.36,No
T01110,Lifting,BLD002,Bulldozer,5,OP005,Intermediate,3,Sunny,23.89,53.53,5.45,Rocky,Debris,40.92,45.79,Morning,8.37,3,11.32,6.63,3.68,46.00,64.46,No
T01111,Trenching,LDR001,Loader,1,OP016,Expert,10,Rainy,24.33,85.42,10.12,Flat,Sand,8.83,350.73,Morning,0.36,3,15.12,5.48,2.27,51.75,42.68,No
T01112,Trenching,LDR002,Loader,4,OP009,Beginner,2,Cloudy,12.80,36.18,10.68,Sandy,Soil,56.00,26.25,Afternoon,2.72,0,14.25,11.62,4.84,51.98,80.06,No
T01113,Digging,CRN001,Crane,3,OP010,Beginner,0,Cloudy,23.50,43.00,8.42,Muddy,Debris,18.64,287.75,Afternoon,2.50,2,0.05,12.42,5.09,63.00,83.84,Yes
T01114,Material Loading,EXC001,Excavator,7,OP019,Intermediate,6,Rainy,6.05,84.09,2.18,Sandy,Soil,6.62,467.47,Evening,3.71,3,1.84,7.11,2.65,37.95,46.57,No
T01115,Material Loading,LDR002,Loader,4,OP007,Intermediate,3,Rainy,16.99,60.54,15.00,Flat,Concrete,39.65,76.66,Morning,3.27,2,7.38,1.18,2.43,34.50,47.45,No
T01116,Grading,BLD003,Bulldozer,5,OP010,Beginner,0,Sunny,28.70,49.13,8.76,Rocky,Debris,53.99,455.63,Evening,0.02,3,15.70,14.30,3.14,40.25,55.51,No
T01117,Earth Excavation,BLD002,Bulldozer,5,OP012,Beginner,2,Sunny,26.04,51.01,9.72,Muddy,Sand,18.52,279.97,Afternoon,5.64,0,7.04,12.97,5.90,72.00,99.04,No
T01118,Demolition,GRD001,Grader,6,OP009,Beginner,2,Cloudy,17.38,73.60,8.93,Muddy,Rock,51.97,46.85,Night,2.48,2,3.63,8.40,8.61,113.40,147.64,No
T01119,Demolition,BLD001,Bulldozer,2,OP006,Intermediate,6,Cloudy,13.86,46.37,18.80,Flat,Debris,24.98,344.55,Evening,9.73,1,10.64,12.93,5.74,94.50,110.62,No
T01120,Material Loading,BLD002,Bulldozer,5,OP010,Beginner,0,Windy,22.89,50.38,32.79,Flat,Concrete,26.50,82.13,Night,6.33,2,7.56,12.16,2.96,33.00,52.05,No
T01121,Trenching,EXC001,Excavator,7,OP005,Intermediate,3,Windy,18.78,38.29,29.85,Rocky,Sand,13.91,366.55,Evening,8.17,2,9.36,1.99,4.64,56.93,79.60,Yes
T01122,Demolition,DMP002,DumpTruck,5,OP013,Intermediate,3,Cloudy,9.74,36.13,8.55,Sandy,Concrete,7.39,241.74,Afternoon,7.77,1,5.60,3.63,8.17,103.95,134.37,Yes
T01123,Material Loading,EXC003,Excavator,5,OP017,Intermediate,6,Foggy,23.10,49.14,9.61,Sandy,Soil,5.42,463.74,Morning,8.96,0,0.00,5.03,2.87,39.60,49.76,No
T01124,Digging,BLD003,Bulldozer,5,OP018,Intermediate,4,Rainy,14.67,76.30,1.94,Flat,Rock,19.68,251.97,Night,2.50,1,10.10,3.31,3.80,57.50,65.74,No
T01125,Earth Excavation,CRN001,Crane,3,OP016,Expert,10,Sunny,25.60,74.85,17.65,Sandy,Concrete,33.97,374.59,Night,1.85,3,10.30,6.90,3.06,66.00,64.70,Yes
T01126,Trenching,CRN001,Crane,3,OP008,Beginner,0,Snowy,-3.26,54.12,1.19,Rocky,Rock,21.92,199.38,Morning,4.62,3,3.31,15.24,5.81,67.27,94.45,No
T01127,Compacting,BLD002,Bulldozer,5,OP008,Beginner,0,Sunny,18.43,69.29,10.32,Rocky,Rock,21.28,303.70,Afternoon,1.17,0,0.02,16.57,5.27,63.25,86.67,No
T01128,Material Loading,CRN001,Crane,3,OP014,Beginner,2,Sunny,13.39,70.38,8.78,Rocky,Soil,30.34,87.23,Night,9.88,2,20.88,12.61,3.36,34.50,59.57,No
T01129,Trenching,LDR001,Loader,1,OP011,Intermediate,3,Rainy,15.01,84.62,6.37,Hilly,Soil,57.32,203.16,Night,1.87,3,8.41,0.00,3.62,59.51,64.45,No
T01130,Compacting,GRD002,Grader,6,OP017,Intermediate,6,Cloudy,19.61,45.70,16.22,Muddy,Debris,49.96,44.58,Night,1.98,1,4.81,6.49,4.89,69.30,83.92,No
T01131,Trenching,DMP001,DumpTruck,6,OP012,Beginner,2,Rainy,23.21,76.93,14.49,Hilly,Concrete,44.88,174.39,Morning,3.91,3,13.68,9.18,5.67,59.51,88.00,Yes
T01132,Earth Excavation,BLD001,Bulldozer,2,OP012,Beginner,2,Cloudy,14.39,67.94,7.17,Flat,Debris,13.33,155.37,Evening,9.18,0,0.00,6.80,5.48,63.00,105.59,No
T01133,Grading,LDR002,Loader,4,OP004,Beginner,1,Sunny,24.45,50.23,10.84,Muddy,Concrete,6.04,336.01,Afternoon,3.81,3,2.02,9.77,3.83,42.00,60.53,Yes
T01134,Earth Excavation,GRD002,Grader,6,OP009,Beginner,2,Rainy,18.87,79.79,8.39,Hilly,Soil,30.64,27.88,Morning,7.53,2,4.60,9.60,7.40,79.35,122.40,No
T01135,Grading,DMP001,DumpTruck,6,OP006,Intermediate,6,Sunny,18.50,49.09,7.62,Muddy,Sand,9.24,24.45,Evening,8.81,2,0.00,0.00,3.97,42.00,64.90,No
T01136,Grading,CRN002,Crane,6,OP017,Intermediate,6,Rainy,15.64,79.59,9.37,Hilly,Sand,19.11,431.48,Evening,3.00,2,0.00,7.83,3.64,46.29,56.12,No
T01137,Grading,LDR001,Loader,1,OP007,Intermediate,3,Windy,20.39,42.53,41.51,Rocky,Soil,56.61,405.22,Morning,2.95,1,0.00,2.69,2.57,44.27,49.86,No
T01138,Grading,EXC002,Excavator,2,OP009,Beginner,2,Sunny,24.45,41.58,7.36,Flat,Soil,52.16,478.84,Night,9.39,3,3.07,14.34,3.33,35.00,59.12,Yes
T01139,Lifting,EXC002,Excavator,2,OP017,Intermediate,6,Sunny,24.18,61.15,13.70,Muddy,Rock,25.08,178.35,Night,5.20,0,8.02,7.69,2.73,48.00,54.09,No
T01140,Earth Excavation,BLD003,Bulldozer,5,OP008,Beginner,0,Cloudy,19.45,34.79,11.43,Flat,Soil,57.54,138.71,Afternoon,4.37,1,5.76,10.39,5.71,63.00,94.40,No
T01141,Earth Excavation,BLD003,Bulldozer,5,OP013,Intermediate,3,Foggy,6.01,46.81,8.81,Rocky,Soil,55.06,300.36,Night,0.43,2,0.00,4.38,5.14,82.80,92.73,No
T01142,Trenching,CRN001,Crane,3,OP015,Expert,9,Rainy,8.36,67.06,8.75,Sandy,Concrete,23.11,361.16,Afternoon,1.45,3,5.97,4.51,2.97,56.92,53.23,No
T01143,Digging,LDR002,Loader,4,OP019,Intermediate,6,Sunny,25.29,47.74,6.09,Hilly,Rock,30.43,293.36,Morning,5.79,0,9.37,7.64,3.93,57.50,69.98,No
T01144,Lifting,EXC003,Excavator,5,OP018,Intermediate,4,Snowy,9.16,69.56,5.01,Flat,Debris,58.10,190.85,Night,0.71,3,1.98,11.30,3.16,52.00,61.29,No
T01145,Lifting,BLD002,Bulldozer,5,OP001,Beginner,0,Sunny,18.50,36.42,2.37,Rocky,Sand,25.04,72.79,Night,5.32,0,4.17,12.29,4.04,46.00,73.38,No
T01146,Demolition,BLD001,Bulldozer,2,OP016,Expert,10,Foggy,12.75,54.83,7.30,Rocky,Rock,41.32,288.74,Evening,1.62,1,8.45,0.06,5.98,124.20,109.68,No
T01147,Earth Excavation,EXC003,Excavator,5,OP004,Beginner,1,Cloudy,22.80,59.22,10.61,Rocky,Rock,30.32,196.85,Night,1.52,2,0.00,16.62,5.68,72.45,102.48,No
T01148,Digging,EXC002,Excavator,2,OP008,Beginner,0,Windy,22.18,48.65,35.23,Flat,Soil,20.75,308.46,Night,0.48,0,24.17,0.00,4.60,55.00,77.84,No
T01149,Grading,BLD001,Bulldozer,2,OP008,Beginner,0,Sunny,15.18,63.64,14.46,Flat,Sand,34.05,32.55,Evening,5.00,0,7.67,11.27,2.78,35.00,54.01,No
T01150,Lifting,LDR001,Loader,1,OP003,Beginner,2,Cloudy,22.53,53.19,7.74,Rocky,Rock,43.72,129.88,Morning,6.01,2,7.33,2.65,3.87,48.30,74.82,No
T01151,Earth Excavation,LDR001,Loader,1,OP008,Beginner,0,Cloudy,20.22,47.91,0.00,Flat,Debris,24.45,360.19,Evening,3.29,0,0.00,8.34,4.23,63.00,93.43,No
T01152,Grading,LDR001,Loader,1,OP012,Beginner,2,Sunny,26.23,46.83,0.00,Muddy,Soil,40.58,213.67,Evening,4.83,1,1.24,9.52,3.13,42.00,59.70,No
T01153,Grading,EXC003,Excavator,5,OP003,Beginner,2,Windy,17.11,66.46,40.22,Rocky,Concrete,26.49,218.97,Afternoon,0.02,0,0.00,11.87,3.73,44.27,60.42,Yes
T01154,Trenching,BLD003,Bulldozer,5,OP017,Intermediate,6,Cloudy,12.19,34.15,8.97,Rocky,Sand,40.83,398.99,Evening,8.59,0,7.67,4.14,3.93,54.34,68.98,No
T01155,Demolition,CRN002,Crane,6,OP020,Intermediate,6,Cloudy,15.35,26.22,10.30,Hilly,Soil,26.82,138.67,Morning,9.62,2,4.41,3.31,8.87,108.67,146.61,No
T01156,Earth Excavation,LDR003,Loader,8,OP006,Intermediate,6,Sunny,25.30,49.90,8.35,Sandy,Debris,24.82,159.75,Morning,6.21,0,2.54,2.44,5.13,66.00,81.39,No
T01157,Compacting,CRN001,Crane,3,OP011,Intermediate,3,Cloudy,23.09,50.27,3.75,Flat,Soil,55.69,183.25,Evening,3.29,0,6.87,5.30,3.21,57.75,60.52,No
T01158,Trenching,LDR001,Loader,1,OP013,Intermediate,3,Cloudy,15.51,28.78,6.20,Muddy,Sand,7.28,186.67,Evening,6.41,0,12.91,8.12,3.36,56.70,67.76,No
T01159,Grading,GRD001,Grader,6,OP005,Intermediate,3,Sunny,21.97,38.99,0.94,Rocky,Debris,28.15,54.54,Afternoon,8.67,2,8.17,7.67,3.76,40.25,58.73,No
T01160,Digging,CRN001,Crane,3,OP003,Beginner,2,Foggy,24.48,65.92,5.78,Muddy,Debris,20.94,483.43,Night,8.04,1,0.00,7.96,5.96,72.00,106.93,No
T01161,Lifting,BLD001,Bulldozer,2,OP008,Beginner,0,Snowy,5.21,64.11,0.00,Rocky,Concrete,13.61,364.20,Morning,3.91,2,6.43,10.39,3.95,59.80,81.25,No
T01162,Digging,EXC001,Excavator,7,OP008,Beginner,0,Sunny,26.20,46.51,9.66,Sandy,Soil,24.34,125.45,Afternoon,2.43,2,0.00,17.60,5.05,55.00,82.29,No
T01163,Earth Excavation,BLD003,Bulldozer,5,OP001,Beginner,0,Windy,18.96,62.84,46.76,Rocky,Debris,17.57,112.63,Night,8.63,0,7.75,12.28,6.85,75.90,113.22,No
T01164,Earth Excavation,GRD002,Grader,6,OP009,Beginner,2,Cloudy,29.49,45.18,15.00,Hilly,Sand,6.46,177.16,Afternoon,9.26,1,9.75,7.31,7.54,72.45,124.80,No
T01165,Digging,GRD002,Grader,6,OP005,Intermediate,3,Cloudy,26.81,51.53,0.09,Sandy,Concrete,29.47,150.72,Afternoon,8.52,1,3.73,5.01,4.43,57.75,81.07,No
T01166,Digging,CRN001,Crane,3,OP004,Beginner,1,Foggy,17.48,35.13,5.57,Hilly,Soil,49.10,393.24,Night,3.49,0,7.10,13.25,5.17,69.00,92.18,No
T01167,Grading,DMP001,DumpTruck,6,OP003,Beginner,2,Sunny,29.08,46.21,16.52,Flat,Debris,37.49,73.03,Morning,5.68,1,13.18,20.68,3.79,35.00,58.52,No
T01168,Grading,DMP002,DumpTruck,5,OP017,Intermediate,6,Cloudy,12.14,22.97,3.28,Sandy,Debris,29.80,448.97,Afternoon,2.92,2,7.60,9.27,2.86,40.43,47.36,No
T01169,Lifting,LDR001,Loader,1,OP015,Expert,9,Cloudy,22.50,71.67,6.07,Muddy,Soil,54.94,418.04,Evening,7.09,3,0.00,3.38,3.03,50.40,53.81,No
T01170,Digging,LDR002,Loader,4,OP008,Beginner,0,Sunny,22.02,58.96,7.09,Muddy,Concrete,21.84,338.53,Afternoon,1.93,0,0.00,11.93,4.78,60.00,85.00,Yes
T01171,Trenching,GRD002,Grader,6,OP016,Expert,10,Snowy,0.55,32.16,9.26,Sandy,Sand,59.57,310.98,Afternoon,8.02,1,11.91,6.35,4.35,64.35,73.00,No
T01172,Earth Excavation,GRD001,Grader,6,OP019,Intermediate,6,Rainy,29.62,95.96,6.81,Muddy,Sand,39.01,57.91,Morning,9.11,0,8.19,5.04,5.91,82.80,103.50,No
T01173,Compacting,CRN001,Crane,3,OP011,Intermediate,3,Sunny,4.92,73.35,3.16,Sandy,Soil,38.37,76.38,Night,3.64,0,7.06,8.77,3.99,60.50,72.24,No
T01174,Lifting,GRD001,Grader,6,OP005,Intermediate,3,Rainy,32.43,69.78,5.95,Hilly,Concrete,44.33,205.85,Afternoon,2.88,2,21.53,4.59,3.70,52.90,65.77,No
T01175,Lifting,CRN002,Crane,6,OP009,Beginner,2,Windy,16.13,37.29,28.76,Hilly,Soil,17.16,201.99,Evening,0.05,3,1.64,13.50,5.10,50.60,76.55,No
T01176,Lifting,BLD002,Bulldozer,5,OP006,Intermediate,6,Windy,7.10,37.48,38.48,Muddy,Sand,12.00,155.91,Afternoon,2.40,0,0.73,6.68,4.14,52.80,65.55,No
T01177,Earth Excavation,EXC002,Excavator,2,OP013,Intermediate,3,Sunny,25.48,56.00,13.82,Sandy,Concrete,51.50,353.21,Night,4.17,2,10.37,7.58,4.51,66.00,77.71,No
T01178,Demolition,EXC002,Excavator,2,OP012,Beginner,2,Sunny,29.34,51.17,12.09,Hilly,Debris,13.82,238.61,Evening,9.45,1,1.97,19.08,7.25,103.50,142.86,No
T01179,Earth Excavation,BLD001,Bulldozer,2,OP003,Beginner,2,Sunny,13.34,45.41,9.97,Sandy,Soil,38.98,123.52,Morning,3.74,0,4.33,17.46,5.08,66.00,96.62,No
T01180,Material Loading,EXC003,Excavator,5,OP015,Expert,9,Cloudy,9.13,65.06,12.95,Hilly,Soil,54.31,471.49,Afternoon,5.83,3,7.34,7.71,2.63,36.22,43.99,No
T01181,Trenching,DMP002,DumpTruck,5,OP007,Intermediate,3,Sunny,21.85,40.76,8.11,Flat,Soil,40.47,140.31,Evening,0.54,1,10.13,2.80,3.47,45.00,53.34,No
T01182,Lifting,DMP001,DumpTruck,6,OP010,Beginner,0,Rainy,14.95,89.43,17.47,Rocky,Debris,51.02,442.35,Morning,6.52,1,5.28,8.86,4.44,52.90,82.96,No
T01183,Earth Excavation,CRN002,Crane,6,OP015,Expert,9,Sunny,19.52,40.47,10.58,Rocky,Soil,13.61,158.14,Night,6.01,2,0.00,10.42,4.27,69.00,73.28,No
T01184,Grading,CRN002,Crane,6,OP018,Intermediate,4,Rainy,15.51,58.09,12.52,Rocky,Concrete,32.02,292.71,Afternoon,2.80,2,9.17,13.01,3.33,46.29,56.12,No
T01185,Demolition,EXC003,Excavator,5,OP017,Intermediate,6,Sunny,23.81,40.56,16.19,Muddy,Concrete,28.87,36.44,Afternoon,1.78,2,2.90,4.67,7.38,108.00,124.69,No
T01186,Trenching,DMP002,DumpTruck,5,OP016,Expert,10,Sunny,29.00,49.07,14.83,Sandy,Debris,25.65,75.04,Morning,1.69,0,10.52,1.24,3.17,49.50,46.48,No
T01187,Demolition,GRD001,Grader,6,OP006,Intermediate,6,Rainy,34.02,63.96,12.95,Hilly,Rock,18.41,428.68,Evening,6.24,2,6.29,9.56,8.77,119.02,142.41,No
T01188,Material Loading,LDR003,Loader,8,OP001,Beginner,0,Sunny,27.90,48.69,6.90,Flat,Sand,9.66,370.93,Afternoon,4.60,0,0.00,11.16,2.43,30.00,48.40,No
T01189,Grading,CRN002,Crane,6,OP008,Beginner,0,Sunny,32.90,62.58,12.20,Flat,Concrete,9.68,296.89,Evening,1.43,1,0.00,14.19,3.29,35.00,50.46,No
T01190,Compacting,CRN001,Crane,3,OP017,Intermediate,6,Sunny,20.32,53.55,10.99,Muddy,Rock,14.52,90.99,Night,5.38,0,6.06,10.98,4.87,66.00,80.91,No
T01191,Compacting,BLD002,Bulldozer,5,OP016,Expert,10,Sunny,23.50,40.37,5.96,Hilly,Debris,28.06,305.25,Night,4.21,2,2.96,4.25,3.00,63.25,54.56,No
T01192,Lifting,LDR001,Loader,1,OP007,Intermediate,3,Cloudy,21.50,39.25,12.84,Sandy,Sand,10.20,466.29,Evening,0.10,3,0.00,0.11,2.52,46.20,43.20,No
T01193,Grading,CRN001,Crane,3,OP019,Intermediate,6,Snowy,-1.70,29.52,7.45,Rocky,Soil,14.65,198.73,Afternoon,8.49,1,1.17,8.39,3.37,52.32,68.84,No
T01194,Digging,DMP002,DumpTruck,5,OP002,Expert,10,Snowy,1.16,48.93,12.04,Muddy,Concrete,25.18,415.58,Night,8.01,1,11.96,2.62,4.21,78.00,72.36,No
T01195,Grading,LDR003,Loader,8,OP008,Beginner,0,Cloudy,7.54,46.18,10.20,Hilly,Sand,26.15,151.64,Night,3.76,2,7.88,13.91,4.38,42.26,58.92,No
T01196,Material Loading,CRN002,Crane,6,OP007,Intermediate,3,Snowy,-7.38,43.13,10.05,Muddy,Rock,28.26,247.60,Evening,7.28,3,0.00,6.06,4.62,46.80,68.79,No
T01197,Demolition,DMP002,DumpTruck,5,OP009,Beginner,2,Sunny,17.96,48.70,18.68,Muddy,Rock,30.95,423.45,Morning,2.86,3,0.36,6.60,8.31,108.00,144.22,No
T01198,Material Loading,BLD002,Bulldozer,5,OP008,Beginner,0,Foggy,21.78,59.92,15.98,Hilly,Rock,11.58,469.97,Afternoon,3.07,3,4.97,6.30,3.20,41.40,59.53,No
T01199,Compacting,EXC003,Excavator,5,OP003,Beginner,2,Cloudy,17.96,37.92,19.45,Sandy,Sand,51.93,100.04,Afternoon,3.49,0,15.20,10.87,5.32,63.53,96.60,No
T01200,Grading,BLD003,Bulldozer,5,OP001,Beginner,0,Cloudy,19.79,54.36,2.12,Sandy,Soil,33.75,467.42,Night,9.54,3,6.32,4.10,4.16,40.43,70.22,No
T01201,Digging,LDR002,Loader,4,OP014,Beginner,2,Sunny,18.14,53.06,17.26,Sandy,Soil,36.68,306.03,Morning,7.73,3,8.63,7.83,4.59,55.00,80.18,No
T01202,Demolition,GRD001,Grader,6,OP011,Intermediate,3,Cloudy,7.91,60.90,14.92,Rocky,Concrete,8.89,144.21,Evening,2.63,1,0.00,2.07,7.58,108.67,128.74,No
T01203,Lifting,GRD001,Grader,6,OP020,Intermediate,6,Cloudy,5.99,56.46,7.13,Flat,Concrete,42.66,53.80,Night,2.25,0,9.98,1.39,2.25,42.00,44.23,Yes
T01204,Grading,GRD001,Grader,6,OP016,Expert,10,Rainy,16.41,63.03,11.52,Rocky,Sand,48.36,102.35,Morning,3.32,2,6.16,14.01,2.87,46.29,53.06,No
T01205,Grading,LDR003,Loader,8,OP005,Intermediate,3,Sunny,26.56,38.92,5.66,Flat,Rock,42.43,252.54,Evening,8.04,1,0.63,3.51,3.56,35.00,53.04,No
T01206,Digging,LDR001,Loader,1,OP020,Intermediate,6,Sunny,21.73,45.74,14.18,Flat,Rock,40.80,497.84,Morning,3.84,0,12.74,8.79,2.83,50.00,58.22,No
T01207,Grading,GRD002,Grader,6,OP009,Beginner,2,Cloudy,24.83,57.53,13.84,Muddy,Sand,30.33,125.39,Evening,1.20,2,8.63,15.60,3.95,44.10,65.25,No
T01208,Trenching,DMP002,DumpTruck,5,OP010,Beginner,0,Rainy,13.09,78.09,1.76,Rocky,Soil,17.16,152.73,Afternoon,2.57,2,0.00,10.93,5.15,59.51,88.45,No
T01209,Trenching,DMP002,DumpTruck,5,OP011,Intermediate,3,Sunny,16.13,55.35,16.09,Flat,Debris,12.97,395.77,Night,9.36,1,13.06,9.27,3.29,45.00,64.72,No
T01210,Demolition,EXC001,Excavator,7,OP012,Beginner,2,Sunny,25.59,52.42,17.45,Rocky,Rock,42.02,384.80,Night,3.00,2,8.12,6.72,8.94,103.50,141.75,Yes
T01211,Demolition,BLD001,Bulldozer,2,OP018,Intermediate,4,Windy,23.53,50.87,43.05,Flat,Debris,56.73,206.07,Night,3.38,3,10.54,2.51,6.07,99.00,110.68,No
T01212,Earth Excavation,DMP001,DumpTruck,6,OP002,Expert,10,Cloudy,24.57,36.57,7.85,Flat,Concrete,18.32,383.16,Morning,9.56,2,3.58,11.88,4.79,63.00,80.56,No
T01213,Lifting,EXC003,Excavator,5,OP012,Beginner,2,Cloudy,23.30,67.84,20.70,Flat,Debris,56.35,159.12,Afternoon,3.79,0,2.66,11.03,4.32,42.00,65.67,Yes
T01214,Compacting,EXC003,Excavator,5,OP014,Beginner,2,Sunny,27.41,57.41,4.70,Muddy,Concrete,53.57,390.54,Afternoon,9.52,0,18.34,12.09,5.98,66.00,105.50,No
T01215,Grading,GRD002,Grader,6,OP006,Intermediate,6,Sunny,10.29,43.72,1.34,Flat,Debris,10.15,330.94,Afternoon,0.76,3,0.00,6.63,2.71,35.00,44.32,No
T01216,Grading,GRD002,Grader,6,OP018,Intermediate,4,Sunny,21.25,52.62,0.00,Sandy,Sand,16.30,331.00,Morning,7.12,1,6.80,3.22,3.47,38.50,59.76,No
T01217,Demolition,DMP001,DumpTruck,6,OP008,Beginner,0,Cloudy,21.20,66.90,13.35,Rocky,Sand,46.06,149.34,Morning,2.02,2,7.64,12.17,9.69,108.67,153.49,No
T01218,Demolition,EXC001,Excavator,7,OP002,Expert,10,Sunny,25.81,43.91,10.67,Hilly,Concrete,25.18,146.17,Afternoon,8.63,1,1.98,2.60,7.74,103.50,117.21,No
T01219,Earth Excavation,LDR003,Loader,8,OP016,Expert,10,Sunny,21.86,44.07,5.05,Flat,Sand,55.79,393.98,Evening,2.90,0,11.42,0.00,3.73,60.00,62.75,No
T01220,Lifting,GRD002,Grader,6,OP014,Beginner,2,Sunny,11.99,45.42,5.83,Rocky,Soil,6.07,62.20,Night,5.60,1,14.69,14.03,4.36,46.00,74.95,No
T01221,Digging,EXC003,Excavator,5,OP007,Intermediate,3,Sunny,17.69,50.27,0.00,Sandy,Sand,44.46,56.64,Afternoon,1.81,1,8.67,4.89,3.74,55.00,63.89,No
T01222,Lifting,EXC002,Excavator,2,OP002,Expert,10,Sunny,30.29,21.66,16.28,Flat,Rock,59.88,60.84,Evening,7.55,3,9.64,1.39,2.53,40.00,46.00,No
